0	3.5	0.25	0.5	['E3']	[]	[0]	[4]
24	3.0	0.5	0.5	['F2', 'A2', 'A3']	['M3', 'M10', 'P8']	[0, 4]	[5, 9]
24	3.5	0.25	0.5	['F2', 'B2', 'D3']	['A4', 'M6', 'm3']	[0, 3, 6]	[11, 2, 5]
25	1.0	1.0	1.0	['E2', 'G#2', 'E3']	['M3', 'P8', 'm6']	[0, 4]	[4, 8]
25	2.0	0.5	1.0	['E2', 'G#2', 'E3']	['M3', 'P8', 'm6']	[0, 4]	[4, 8]
25	3.0	0.5	0.5				
25	3.5	0.25	0.5	['A2', 'E3', 'A3', 'C#4', 'C#5']	['P5', 'P8', 'M10', 'M17', 'P4', 'M6', 'M13', 'M3']	[0, 3, 7]	[9, 1, 4]
26	1.0	1.0	0.75	['A2', 'E3', 'A3', 'C#4', 'C#5']	['P5', 'P8', 'M10', 'M17', 'P4', 'M6', 'M13', 'M3']	[0, 3, 7]	[9, 1, 4]
26	1.75	0.125	0.25	['E2', 'E3', 'G#3', 'B3', 'B4']	['P8', 'M10', 'P12', 'P19', 'M3', 'P5', 'm3', 'm10']	[0, 3, 7]	[4, 8, 11]
26	2.0	0.5	1.5	['E2', 'E3', 'G#3', 'B3', 'B4']	['P8', 'M10', 'P12', 'P19', 'M3', 'P5', 'm3', 'm10']	[0, 3, 7]	[4, 8, 11]
26	3.5	0.25	0.5	['A2', 'G3', 'A3', 'C#4', 'C#5']	['m7', 'P8', 'M10', 'M17', 'M2', 'A4', 'A11', 'M3']	[0, 2, 6]	[7, 9, 1]
27	1.0	1.0	0.75	['D2', 'F#3', 'A3', 'D4', 'D5']	['M10', 'P12', 'P15', 'P22', 'm3', 'm6', 'm13', 'P4', 'P11', 'P8']	[0, 3, 7]	[2, 6, 9]
27	1.75	0.125	0.25	['A2', 'E3', 'A3', 'C#4', 'C#5']	['P5', 'P8', 'M10', 'M17', 'P4', 'M6', 'M13', 'M3']	[0, 3, 7]	[9, 1, 4]
27	2.0	0.5	1.5	['A2', 'E3', 'A3', 'C#4', 'C#5']	['P5', 'P8', 'M10', 'M17', 'P4', 'M6', 'M13', 'M3']	[0, 3, 7]	[9, 1, 4]
27	3.5	0.25	0.5	['A2', 'E3', 'A3', 'C#4', 'C#5']	['P5', 'P8', 'M10', 'M17', 'P4', 'M6', 'M13', 'M3']	[0, 3, 7]	[9, 1, 4]
28	1.0	1.0	0.75	['E#2', 'C#3', 'G#3', 'C#4', 'C#5']	['m6', 'm10', 'm13', 'm20', 'P5', 'P8', 'P15', 'P4', 'P11']	[0, 3, 7]	[1, 5, 8]
28	1.75	0.125	0.25	['E#2', 'C#3', 'G#3', 'B3', 'B4']	['m6', 'm10', 'd12', 'd19', 'P5', 'm7', 'm14', 'm3', 'P8']	[0, 2, 5, 8]	[5, 8, 11, 1]
28	2.0	0.5	1.0	['F#2', 'C#3', 'F#3', 'A3', 'A4']	['P5', 'P8', 'm10', 'm17', 'P4', 'm6', 'm13', 'm3']	[0, 3, 7]	[6, 9, 1]
28	3.0	0.5	0.3333333333333333	['F#2', 'C#3', 'F#3', 'A3', 'A4']	['P5', 'P8', 'm10', 'm17', 'P4', 'm6', 'm13', 'm3']	[0, 3, 7]	[6, 9, 1]
28	333/100	0.0625	0.16666666666666666	['F#2', 'C#3', 'F#3', 'A3', 'B4']	['P5', 'P8', 'm10', 'P18', 'P4', 'm6', 'm14', 'm3', 'P11', 'M9']	[0, 2, 4, 7]	[6, 9, 11, 1]
