39	1.5	0.25	0.5	['A1', 'A2', 'F#4', 'B4']	['P8', 'M20', 'M23', 'M13', 'M16', 'P4']	[0, 2, 5]	[6, 9, 11]
39	2.0	0.5	0.5	['A1', 'A2', 'D#3', 'B3', 'B4']	['P8', 'A11', 'M16', 'M23', 'A4', 'M9', 'm6', 'm13']	[0, 2, 6]	[9, 11, 3]
39	2.5	0.25	0.5	['A1', 'A2', 'D#3', 'B3', 'B4']	['P8', 'A11', 'M16', 'M23', 'A4', 'M9', 'm6', 'm13']	[0, 2, 6]	[9, 11, 3]
40	1.0	1.0	1.0	['A1', 'A2', 'D#3', 'B3', 'B4']	['P8', 'A11', 'M16', 'M23', 'A4', 'M9', 'm6', 'm13']	[0, 2, 6]	[9, 11, 3]
40	2.0	0.5	1.0	['A1', 'A2', 'D#3', 'B3', 'B4']	['P8', 'A11', 'M16', 'M23', 'A4', 'M9', 'm6', 'm13']	[0, 2, 6]	[9, 11, 3]
41	1.0	1.0	0.5	['G1', 'G2', 'D#3', 'B3', 'B4']	['P8', 'A12', 'M17', 'M24', 'A5', 'M10', 'm6', 'm13']	[0, 4, 8]	[3, 7, 11]
41	1.5	0.25	0.5	['G1', 'G2', 'D#3', 'B3', 'B4']	['P8', 'A12', 'M17', 'M24', 'A5', 'M10', 'm6', 'm13']	[0, 4, 8]	[3, 7, 11]
41	2.0	0.5	0.5	['G1', 'G2', 'E3', 'B3', 'B4']	['P8', 'M13', 'M17', 'M24', 'M6', 'M10', 'P5', 'P12']	[0, 3, 7]	[4, 7, 11]
41	2.5	0.25	0.5	['G1', 'G2', 'E3', 'B3', 'B4']	['P8', 'M13', 'M17', 'M24', 'M6', 'M10', 'P5', 'P12']	[0, 3, 7]	[4, 7, 11]
42	1.0	1.0	2.0	['E2', 'B2', 'G3', 'B3', 'B4']	['P5', 'm10', 'P12', 'P19', 'm6', 'P8', 'P15', 'M3', 'M10']	[0, 3, 7]	[4, 7, 11]
43	1.0	1.0	0.5	['B1', 'B2', 'D3', 'F#3', 'B3', 'B4']	['P8', 'm10', 'P12', 'P15', 'P22', 'm3', 'P5', 'M3', 'M6', 'M13', 'P4', 'P11']	[0, 3, 7]	[11, 2, 6]
43	1.5	0.25	0.5	['B1', 'B2', 'D3', 'F#3', 'B3']	['P8', 'm10', 'P12', 'P15', 'm3', 'P5', 'M3', 'M6', 'P4']	[0, 3, 7]	[11, 2, 6]
43	2.0	0.5	1.0	['G3', 'B3', 'E#4', 'B4']	['M3', 'A6', 'M10', 'A4', 'P8', 'd5']	[0, 2, 6]	[5, 7, 11]
44	1.0	1.0	0.5	['G#3', 'B3', 'D4', 'F#4']	['m3', 'd5', 'm7', 'P5', 'M3']	[0, 2, 5, 8]	[6, 8, 11, 2]
44	1.5	0.25	0.5	['G#3', 'B3', 'D4', 'F#4']	['m3', 'd5', 'm7', 'P5', 'M3']	[0, 2, 5, 8]	[6, 8, 11, 2]
44	2.0	0.5	0.5	['G3', 'B3', 'D4', 'E#4', 'G4', 'B4']	['M3', 'P5', 'A6', 'P8', 'M10', 'm3', 'A4', 'm6', 'A2', 'P4', 'M6', 'd3', 'd5']	[0, 2, 5, 8]	[11, 2, 5, 7]
44	2.5	0.25	0.5	['G3', 'B3', 'D4', 'E#4', 'G4', 'B4']	['M3', 'P5', 'A6', 'P8', 'M10', 'm3', 'A4', 'm6', 'A2', 'P4', 'M6', 'd3', 'd5']	[0, 2, 5, 8]	[11, 2, 5, 7]
45	1.0	1.0	0.5	['G#3', 'B3', 'D4', 'F#4']	['m3', 'd5', 'm7', 'P5', 'M3']	[0, 2, 5, 8]	[6, 8, 11, 2]
45	1.5	0.25	0.5	['G#3', 'B3', 'D4', 'F#4']	['m3', 'd5', 'm7', 'P5', 'M3']	[0, 2, 5, 8]	[6, 8, 11, 2]
45	2.0	0.5	0.5	['G3', 'B3', 'D4', 'E#4', 'B4']	['M3', 'P5', 'A6', 'M10', 'm3', 'A4', 'P8', 'A2', 'M6', 'd5']	[0, 2, 5, 8]	[11, 2, 5, 7]
45	2.5	0.25	0.5	['G3', 'B3', 'D4', 'E#4', 'G4', 'B4']	['M3', 'P5', 'A6', 'P8', 'M10', 'm3', 'A4', 'm6', 'A2', 'P4', 'M6', 'd3', 'd5']	[0, 2, 5, 8]	[11, 2, 5, 7]
46	1.0	1.0	1.0	['F#3', 'B3', 'D4', 'F#4']	['P4', 'm6', 'P8', 'm3', 'P5', 'M3']	[0, 3, 7]	[11, 2, 6]
46	2.0	0.5	1.0	['F#3', 'B3', 'D4', 'F#4']	['P4', 'm6', 'P8', 'm3', 'P5', 'M3']	[0, 3, 7]	[11, 2, 6]
47	1.0	1.0	1.0	['F#2', 'F#4']	['P15']	[0]	[6]
47	2.0	0.5	1.0	['F#2', 'A#3', 'C#4', 'E4', 'G4']	['M10', 'P12', 'm14', 'm16', 'm3', 'd5', 'd7']	[0, 1, 3, 6, 9]	[10, 1, 4, 6, 7]
48	1.0	1.0	1.0	['F#2', 'B3', 'D4', 'F#4']	['P11', 'm13', 'P15', 'm3', 'P5', 'M3']	[0, 3, 7]	[11, 2, 6]
48	2.0	0.5	1.0	['F#2', 'B3', 'D4', 'F#4']	['P11', 'm13', 'P15', 'm3', 'P5', 'M3']	[0, 3, 7]	[11, 2, 6]
49	1.0	1.0	1.0	['B1', 'B3', 'D4', 'F#4']	['P15', 'm17', 'P19', 'm3', 'P5', 'M3']	[0, 3, 7]	[11, 2, 6]
49	2.0	0.5	1.0	['B1', 'A#3', 'C4', 'E4', 'G4']	['M14', 'm16', 'P18', 'm20', 'd3', 'd5', 'd7', 'M3', 'P5', 'm3']	[0, 1, 2, 5, 8]	[4, 7, 10, 11, 0]
50	1.0	1.0	1.0	['B1', 'B3', 'D4', 'F#4']	['P15', 'm17', 'P19', 'm3', 'P5', 'M3']	[0, 3, 7]	[11, 2, 6]
50	2.0	0.5	1.0	['B1', 'A#3', 'C#4', 'E4', 'G4']	['M14', 'M16', 'P18', 'm20', 'm3', 'd5', 'd7']	[0, 1, 3, 6, 9]	[10, 11, 1, 4, 7]
51	1.0	1.0	1.0	['B1', 'B3', 'D4', 'F#4']	['P15', 'm17', 'P19', 'm3', 'P5', 'M3']	[0, 3, 7]	[11, 2, 6]
51	2.0	0.5	0.5	['B1', 'A#3', 'C4', 'E4', 'G4']	['M14', 'm16', 'P18', 'm20', 'd3', 'd5', 'd7', 'M3', 'P5', 'm3']	[0, 1, 2, 5, 8]	[4, 7, 10, 11, 0]
51	2.5	0.25	0.5	['B1', 'A#3', 'C#4', 'E4', 'G4']	['M14', 'M16', 'P18', 'm20', 'm3', 'd5', 'd7']	[0, 1, 3, 6, 9]	[10, 11, 1, 4, 7]
