35	1.0	1.0	0.5	['B3', 'D4', 'F#4', 'B4']	['m3', 'P5', 'P8', 'M3', 'M6', 'P4']	[0, 3, 7]	[11, 2, 6]
35	1.5	0.25	0.5	['B3', 'D4', 'F#4', 'B4']	['m3', 'P5', 'P8', 'M3', 'M6', 'P4']	[0, 3, 7]	[11, 2, 6]
35	2.0	0.5	0.5	['B4']	[]	[0]	[11]
35	2.5	0.25	0.5	['B4']	[]	[0]	[11]
36	1.0	1.0	0.5	['B3', 'D4', 'F#4', 'B4']	['m3', 'P5', 'P8', 'M3', 'M6', 'P4']	[0, 3, 7]	[11, 2, 6]
36	1.5	0.25	0.5	['B3', 'D4', 'F#4', 'B4']	['m3', 'P5', 'P8', 'M3', 'M6', 'P4']	[0, 3, 7]	[11, 2, 6]
36	2.0	0.5	0.5	['B3', 'D4', 'F#4', 'B4']	['m3', 'P5', 'P8', 'M3', 'M6', 'P4']	[0, 3, 7]	[11, 2, 6]
36	2.5	0.25	0.5	['B3', 'D4', 'F#4', 'B4']	['m3', 'P5', 'P8', 'M3', 'M6', 'P4']	[0, 3, 7]	[11, 2, 6]
37	1.0	1.0	0.5	['G3', 'D4', 'G4', 'B-4']	['P5', 'P8', 'm10', 'P4', 'm6', 'm3']	[0, 3, 7]	[7, 10, 2]
37	1.5	0.25	0.5	['G3', 'D4', 'G4', 'B-4']	['P5', 'P8', 'm10', 'P4', 'm6', 'm3']	[0, 3, 7]	[7, 10, 2]
37	2.0	0.5	0.5	['B-4']	[]	[0]	[10]
37	2.5	0.25	0.5	['B-4']	[]	[0]	[10]
38	1.0	1.0	0.5	['E-3', 'C#4', 'G4', 'B-4']	['A6', 'M10', 'P12', 'd5', 'd7', 'm3']	[0, 2, 5, 8]	[7, 10, 1, 3]
38	1.5	0.25	0.5	['E-3', 'C#4', 'G4', 'B-4']	['A6', 'M10', 'P12', 'd5', 'd7', 'm3']	[0, 2, 5, 8]	[7, 10, 1, 3]
38	2.0	0.5	0.5	['E-3', 'C#4', 'G4', 'B-4']	['A6', 'M10', 'P12', 'd5', 'd7', 'm3']	[0, 2, 5, 8]	[7, 10, 1, 3]
38	2.5	0.25	0.5	['E-3', 'C#4', 'G4', 'B-4']	['A6', 'M10', 'P12', 'd5', 'd7', 'm3']	[0, 2, 5, 8]	[7, 10, 1, 3]
39	1.0	1.0	1.0	['D3', 'D4', 'G4', 'B-4']	['P8', 'P11', 'm13', 'P4', 'm6', 'm3']	[0, 3, 7]	[7, 10, 2]
39	2.0	0.5	1.0	['D3', 'D4', 'F#4', 'A4']	['P8', 'M10', 'P12', 'M3', 'P5', 'm3']	[0, 3, 7]	[2, 6, 9]
40	1.0	1.0	1.5				
